total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
1293,15,65,93,95,0,1214.0,507400.0,160,879,2886,95938.0,25003920102,0.1518480685442682,0.0,0.20726991492652747,7.101675971619444,11.471457428476457,,,
2218,398,404,350,39,111,870.0,166300.0,1012,1917,4985,42995.0,25003921300,0.24281893243400396,0.0,0.5870153291253382,6.76849321164863,10.668839108844997,,,
844,69,141,97,0,103,918.0,108600.0,317,729,1398,49583.0,25003921400,0.22217292217090534,0.0,0.48578199052132703,6.822197390620491,10.811403312028094,,,
1474,15,347,124,0,8,657.0,190400.0,409,1322,2698,54872.0,25003921500,0.1436798367108908,0.0,0.33514246947082765,6.48768401848461,10.912758479179157,,,
1610,251,335,64,165,27,847.0,173300.0,694,1393,2623,51607.0,25003922100,0.19695002615924198,0.0,0.5229813664596273,6.741700694652055,10.851412601183544,,,
1977,382,297,201,0,11,920.0,172000.0,653,1763,3596,48551.0,25003922200,0.2273897551028815,0.0,0.45068285280728376,6.824373670043086,10.790370070829697,,,
987,153,71,23,5,0,1068.0,214900.0,224,885,1930,65292.0,25003922300,0.19628744716044844,0.0,0.2553191489361702,6.97354301952014,11.086624796273925,,,
1698,108,9,0,0,0,1277.0,234200.0,176,1547,3239,72485.0,25003923100,0.2114092570876733,0.0,0.06890459363957598,7.152268856032539,11.191134922884999,,,
1619,84,90,96,58,8,928.0,565600.0,235,810,1933,74333.0,25003924100,0.14981233099699998,0.0,0.20753551575046325,6.833031732786201,11.21631027745916,,,
870,13,89,14,0,40,1116.0,394800.0,137,750,1714,84440.0,25003925101,0.15859782093794408,0.0,0.1793103448275862,7.017506142941256,11.343796501962258,,,
2892,53,245,206,134,60,1039.0,457100.0,694,2237,5470,64327.0,25003925102,0.19382218974924995,0.0,0.2413554633471646,6.946013991099227,11.071734728776972,,,
1769,138,124,11,12,14,1155.0,389400.0,316,1385,3312,87604.0,25003926100,0.1582119537920643,0.0,0.16902204635387225,7.051855622955894,11.380581937982457,,,
744,28,51,0,1,0,1107.0,199300.0,98,715,1713,72872.0,25003931100,0.18229223844549347,0.0,0.10752688172043011,7.009408932708637,11.196459756424646,,,
760,3,4,18,0,0,1125.0,220400.0,64,629,1416,71950.0,25003931300,0.18763029881862406,0.0,0.03289473684210526,7.025538314638521,11.183726712315513,,,
908,13,0,2,0,0,1313.0,295300.0,11,705,1700,98682.0,25003931400,0.1596643764820332,0.0,0.016519823788546256,7.180069874302796,11.499657837969323,,,
2155,0,7,0,0,0,1438.0,318400.0,71,1178,2559,79405.0,25003932200,0.2173162899061772,0.0,0.0032482598607888632,7.271008538280992,11.282316617544748,,,
1066,27,85,64,0,0,933.0,208900.0,201,769,1791,70234.0,25003932300,0.15940997237805052,0.0,0.1651031894934334,6.838405200847344,11.159587803248082,,,
1290,22,0,9,0,0,1125.0,498200.0,35,608,1467,135500.0,25003933200,0.09963099630996311,0.0,0.024031007751937984,7.025538314638521,11.816726919301892,,,
996,16,0,6,3,0,1829.0,420500.0,62,631,1550,75156.0,25003933300,0.29203257224972057,0.0,0.025100401606425703,7.511524648390866,11.227321232313413,,,
2322,15,4,0,1,0,1731.0,319400.0,99,1023,2438,94031.0,25003933400,0.22090587146792015,0.0,0.008613264427217916,7.456454555176209,11.451379794118326,,,
881,25,18,9,0,0,1761.0,408800.0,91,528,1220,90875.0,25003934200,0.2325392022008253,0.0,0.05902383654937571,7.473637108496206,11.41724021483582,,,
1502,53,6,12,4,0,1313.0,596500.0,130,890,2109,93000.0,25003934300,0.16941935483870968,0.0,0.049933422103861515,7.180069874302796,11.440354772135393,,,
1765,75,66,109,32,140,1019.0,405800.0,136,1039,2469,89712.0,25003935100,0.136302835741038,0.0,0.23909348441926345,6.926577033222725,11.404359818363453,,,
2251,271,144,86,0,13,1442.0,223300.0,314,2150,5022,84500.0,25003935200,0.20478106508875737,0.0,0.22834295868502888,7.273786317844895,11.344506813345266,,,
2220,451,361,78,36,95,811.0,165700.0,828,1848,3856,49153.0,25003935300,0.19799401867637786,0.0,0.45990990990990993,6.698268054115413,10.802693161352469,,,
1990,77,137,171,107,66,1876.0,480100.0,702,1858,4165,88300.0,25005600100,0.25494903737259345,0.0,0.2804020100502513,7.53689712956617,11.388495386592052,,,
2320,17,106,327,119,52,1855.0,370100.0,314,2245,5073,100594.0,25005600202,0.22128556375131717,0.0,0.26767241379310347,7.5256399750415355,11.518847892721995,,,
2291,50,23,11,33,138,2549.0,600400.0,411,2291,6432,156076.0,25005600203,0.19598144493708192,0.0,0.11130510694020078,7.8434564043761155,11.958098347085457,,,
